[2434, 802]
[2433, 803]
[2426, 803]
[2423, 806]
[2423, 807]
[2422, 808]
[2422, 811]
[2421, 812]
[2421, 814]
[2420, 815]
[2420, 818]
[2419, 819]
[2419, 820]
[2418, 821]
[2418, 823]
[2417, 824]
[2417, 825]
[2416, 826]
[2416, 829]
[2415, 830]
[2415, 833]
[2414, 834]
[2414, 835]
[2413, 836]
[2413, 838]
[2412, 839]
[2412, 841]
[2411, 842]
[2411, 845]
[2410, 846]
[2410, 847]
[2409, 848]
[2409, 851]
[2408, 852]
[2408, 854]
[2407, 855]
[2407, 857]
[2406, 858]
[2406, 859]
[2405, 860]
[2405, 863]
[2404, 864]
[2404, 867]
[2403, 868]
[2403, 870]
[2402, 871]
[2402, 873]
[2401, 874]
[2401, 876]
[2400, 877]
[2400, 881]
[2399, 882]
[2399, 884]
[2397, 886]
[2397, 889]
[2396, 890]
[2396, 891]
[2395, 892]
[2395, 894]
[2394, 895]
[2394, 898]
[2393, 899]
[2393, 901]
[2392, 902]
[2392, 905]
[2391, 906]
[2391, 907]
[2390, 908]
[2390, 911]
[2389, 912]
[2389, 914]
[2388, 915]
[2388, 917]
[2387, 918]
[2387, 919]
[2386, 920]
[2386, 922]
[2385, 923]
[2385, 926]
[2384, 927]
[2384, 930]
[2382, 932]
[2382, 934]
[2381, 935]
[2381, 940]
[2380, 941]
[2380, 943]
[2379, 944]
[2379, 946]
[2378, 947]
[2378, 949]
[2377, 950]
[2377, 951]
[2376, 952]
[2376, 953]
[2375, 954]
[2375, 958]
[2374, 959]
[2374, 960]
[2373, 961]
[2373, 963]
[2372, 964]
[2372, 967]
[2371, 968]
[2371, 971]
[2370, 972]
[2370, 974]
[2369, 975]
[2369, 976]
[2368, 977]
[2368, 981]
[2366, 983]
[2366, 985]
[2365, 986]
[2365, 989]
[2364, 990]
[2364, 994]
[2363, 995]
[2363, 998]
[2362, 999]
[2362, 1000]
[2361, 1001]
[2361, 1004]
[2360, 1005]
[2360, 1007]
[2359, 1008]
[2359, 1010]
[2358, 1011]
[2358, 1012]
[2357, 1013]
[2357, 1017]
[2356, 1018]
[2356, 1020]
[2355, 1021]
[2355, 1042]
[2356, 1043]
[2356, 1047]
[2357, 1048]
[2359, 1048]
[2360, 1049]
[2361, 1049]
[2362, 1050]
[2364, 1050]
[2365, 1051]
[2367, 1051]
[2368, 1052]
[2373, 1052]
[2374, 1053]
[2376, 1053]
[2377, 1054]
[2377, 1055]
[2379, 1055]
[2380, 1056]
[2384, 1056]
[2385, 1057]
[2386, 1057]
[2387, 1058]
[2389, 1058]
[2390, 1059]
[2392, 1059]
[2393, 1060]
[2394, 1060]
[2395, 1061]
[2399, 1061]
[2400, 1062]
[2403, 1062]
[2404, 1063]
[2407, 1063]
[2409, 1065]
[2411, 1065]
[2412, 1066]
[2413, 1066]
[2414, 1067]
[2418, 1067]
[2419, 1068]
[2421, 1068]
[2423, 1070]
[2425, 1070]
[2426, 1071]
[2444, 1071]
[2445, 1072]
[2445, 1076]
[2450, 1076]
[2452, 1078]
[2453, 1078]
[2454, 1079]
[2456, 1079]
[2457, 1080]
[2459, 1080]
[2461, 1082]
[2463, 1082]
[2464, 1083]
[2467, 1083]
[2468, 1084]
[2470, 1084]
[2471, 1085]
[2474, 1085]
[2475, 1086]
[2478, 1086]
[2479, 1087]
[2480, 1087]
[2481, 1088]
[2484, 1088]
[2485, 1089]
[2487, 1089]
[2489, 1091]
[2492, 1091]
[2493, 1092]
[2498, 1092]
[2499, 1093]
[2499, 1094]
[2501, 1094]
[2502, 1095]
[2504, 1095]
[2505, 1096]
[2507, 1096]
[2508, 1097]
[2511, 1097]
[2512, 1098]
[2514, 1098]
[2515, 1099]
[2518, 1099]
[2519, 1100]
[2549, 1100]
[2550, 1099]
[2550, 1096]
[2551, 1095]
[2551, 1093]
[2553, 1091]
[2553, 1088]
[2554, 1087]
[2554, 1086]
[2555, 1085]
[2555, 1081]
[2556, 1080]
[2556, 1078]
[2557, 1077]
[2557, 1076]
[2558, 1075]
[2558, 1072]
[2559, 1071]
[2559, 1068]
[2560, 1067]
[2560, 1066]
[2561, 1065]
