8_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 0_ksztalt_4, 0_ksztalt_5, 1_czerwonych, 1_zielonych, 1_niebieskich, 1_bialych, 1_zoltych, 3_mieszanych
0_ksztalt_1, 4_ksztalt_2, 0_ksztalt_3, 0_ksztalt_4, 1_ksztalt_5, 0_czerwonych, 0_zielonych, 0_niebieskich, 0_bialych, 0_zoltych, 5_mieszanych
0_ksztalt_1, 3_ksztalt_2, 0_ksztalt_3, 0_ksztalt_4, 7_ksztalt_5, 1_czerwonych, 1_zielonych, 1_niebieskich, 0_bialych, 1_zoltych, 6_mieszanych
0_ksztalt_1, 0_ksztalt_2, 4_ksztalt_3, 0_ksztalt_4, 1_ksztalt_5, 1_czerwonych, 1_zielonych, 0_niebieskich, 1_bialych, 0_zoltych, 2_mieszanych
0_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 13_ksztalt_4, 0_ksztalt_5, 1_czerwonych, 1_zielonych, 1_niebieskich, 0_bialych, 1_zoltych, 9_mieszanych
2_ksztalt_1, 2_ksztalt_2, 0_ksztalt_3, 0_ksztalt_4, 5_ksztalt_5, 0_czerwonych, 1_zielonych, 2_niebieskich, 0_bialych, 2_zoltych, 4_mieszanych
2_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 4_ksztalt_4, 0_ksztalt_5, 1_czerwonych, 1_zielonych, 2_niebieskich, 0_bialych, 1_zoltych, 1_mieszanych
3_ksztalt_1, 0_ksztalt_2, 3_ksztalt_3, 4_ksztalt_4, 0_ksztalt_5, 0_czerwonych, 0_zielonych, 2_niebieskich, 0_bialych, 0_zoltych, 8_mieszanych
0_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 1_ksztalt_4, 1_ksztalt_5, 0_czerwonych, 1_zielonych, 0_niebieskich, 1_bialych, 0_zoltych, 1_mieszanych
4_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 3_ksztalt_4, 0_ksztalt_5, 0_czerwonych, 1_zielonych, 2_niebieskich, 0_bialych, 0_zoltych, 4_mieszanych
3_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 1_ksztalt_4, 4_ksztalt_5, 1_czerwonych, 0_zielonych, 2_niebieskich, 0_bialych, 0_zoltych, 5_mieszanych
1_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 0_ksztalt_4, 2_ksztalt_5, 0_czerwonych, 0_zielonych, 0_niebieskich, 1_bialych, 0_zoltych, 3_mieszanych
5_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 2_ksztalt_4, 4_ksztalt_5, 1_czerwonych, 0_zielonych, 3_niebieskich, 0_bialych, 2_zoltych, 5_mieszanych
5_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 3_ksztalt_4, 1_ksztalt_5, 0_czerwonych, 0_zielonych, 3_niebieskich, 0_bialych, 1_zoltych, 6_mieszanych
3_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 4_ksztalt_4, 2_ksztalt_5, 1_czerwonych, 0_zielonych, 2_niebieskich, 0_bialych, 1_zoltych, 6_mieszanych
4_ksztalt_1, 0_ksztalt_2, 0_ksztalt_3, 0_ksztalt_4, 1_ksztalt_5, 0_czerwonych, 0_zielonych, 1_niebieskich, 0_bialych, 0_zoltych, 4_mieszanych
4_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 3_ksztalt_4, 0_ksztalt_5, 1_czerwonych, 1_zielonych, 3_niebieskich, 0_bialych, 1_zoltych, 2_mieszanych
1_ksztalt_1, 0_ksztalt_2, 1_ksztalt_3, 6_ksztalt_4, 0_ksztalt_5, 0_czerwonych, 1_zielonych, 1_niebieskich, 0_bialych, 0_zoltych, 6_mieszanych
